Hours,Wave,Arena,Trial,Animal,Drugs,Distance,Velocity,Mobile,Immobile,EmptyFreq,EmptyDuration,EmptyLatency,SocialFreq,SocialDuration,SocialLatency,EmptySocial,SocialEmpty,TotalTime,EmptyPercent,SocialPercent
48,4,Arena 1,Social,1736,C + B,2551.72,3.91427,268.4,384.55,13,431.45,13.5,20,221.25,0,10,11,652.7,66.10234411,33.89765589
48,4,Arena 2,Social,1783,C + D,3044.2,5.10002,316.65,282.65,27,234.65,1,30,363.1,0,19,19,597.75,39.25554161,60.74445839
48,4,Arena 3,Social,1784,C + D,2758.8,4.76271,293.25,291.05,29,307.75,2.2,28,276.7,0,19,19,584.45,52.65634357,47.34365643
48,4,Arena 4,Social,1804,C + D,1534.09,2.61746,178.35,410.25,14,256.2,20.75,17,331.9,0,9,10,588.1,43.56401972,56.43598028
48,5,Arena 2,Control,1805,C + D,2146.68,3.52117,285.8,326.9,19,387.75,0,18,223.55,17.65,12,11,611.3,63.43039424,36.56960576
48,5,Arena 3,Control,1806,C + D,3101.2,5.25672,303.5,292.6,36,217.85,0.05,46,377.6,16.4,28,27,595.45,36.58577546,63.41422454
48,5,Arena 4,Control,1807,C + D,2856.76,4.90853,299.45,292.45,34,352.4,0,48,240.8,6.5,24,24,593.2,59.40660823,40.59339177
48,5,Arena 2,Social,1805,C + D,1906.99,3.16907,237.8,366.1,16,228.5,0,10,376.15,0.25,8,7,604.65,37.79045729,62.20954271
48,5,Arena 3,Social,1806,C + D,2430.08,4.07321,258.25,343.95,27,257.45,0,23,344.6,12.55,19,19,602.05,42.76222905,57.23777095
48,5,Arena 4,Social,1807,C + D,1708.93,2.80659,209.1,402.4,11,203.55,4,11,407.7,0,8,8,611.25,33.3006135,66.6993865
